step,cefr_level,grammar_category,sub_category,guideword,learning_objective,example_sentence,lexical_range
908,B2,PAST,past perfect simple,USE: REPORTS OF STATEMENTS,"Can use the past perfect simple to report statements, where the main verb in the reporting clause is in the past simple.  ► reported speech","[…] one morning she was listening to the radio, when suddenly the announcer said that the police had arrested a man who had stolen five expensive and unique paintings.",
909,B2,PAST,past perfect simple,USE: CHANGE OF SITUATION,Can use the past perfect simple to talk about situations which changed.,After the show we had planned to go to the theatre restaurant. But it was closed.,
910,B2,PAST,past perfect simple,"USE: BACKGROUND INFORMATION, RELATIVE CLAUSE",Can use the past perfect simple in relative clauses to give background information.    ► relative clauses,"After a while Mr and Mrs Landsbury, the couple who had organised the party, got everybody's attention and […] asked everybody to stay calm.",
911,B2,PAST,past perfect simple,USE: REPORTS OF QUESTIONS ,"Can use the past perfect simple to report questions, where the main verb in the reporting clause is in the past simple.  ► reported speech",I asked him who had given him my phone number and he said it had been me.,
912,B2,PAST,past simple,FORM: QUESTIONS,"Can use 'yes/no', 'wh-', tag and negative question forms with an increasing range of verbs.",Are you still looking for a job or did you succeed in finding one?,2.0
913,B2,PAST,past simple,FORM: NEGATIVE,Can use the negative form with a wide range of regular and irregular verbs.,I didn't hesitate and went there straight away.,1.0
914,B2,PAST,past simple,FORM: WITH SUBORDINATING CONJUNCTIONS,"Can use the past simple with a range of subordinating conjunctions, including 'as soon as', 'before', 'if', 'once', 'since', 'so', 'until', 'when', 'while'.","… as soon as we went down to around 15 metres in depth, we saw a lot of coloured fish.",
915,B2,PAST,past simple,FORM: WITH TIME ADJUNCTS,Can use a range of time adjuncts with the past simple.,I also worked as a helper on a summer camp for primary schoolchildren in Canada last summer.,
916,B2,PAST,past simple,USE: POLITENESS: 'I WONDERED' AND 'I WANTED',"Can use the past simple with 'I wondered' and 'I wanted' as politeness structures, when making polite requests and thanking.","So, I wondered if you could introduce me to somebody who knows how to use a camera, so that I will be able to record my trip for you.",
917,B2,PAST,past simple,USE: POLITENESS AFTER 'IF',"Can use the past simple after 'if' as a politeness structure, especially in letters and emails.",I think it would be very helpful if I told you my own case.,
918,B2,PAST,present perfect continuous,FORM: WITH ADVERBS,Can use the present perfect continuous with adverbs in the normal mid position.,"I have just been reading an article in your newspaper this morning, about The Westfield Music Festival.",2.0
919,B2,PAST,present perfect continuous,FORM: NEGATIVE,Can use the negative form.,I hope that I have not been wasting your time and giving you too much trouble.,1.0
920,B2,PAST,present perfect continuous,USE: RECENT PAST,Can use the present perfect continuous to focus on a finished activity in the recent past but where the effects or results are still important or relevant.,They might be slippery when it has been snowing.,
921,B2,PAST,present perfect simple,FORM: QUESTIONS,Can use the question form with an increasing range of verbs.,How has your family been?,2.0
922,B2,PAST,present perfect simple,FORM/USE: WITH 'STILL',Can use the negative form of the present perfect simple with 'still' to emphasise that something that was expected to happen continues not to happen.  ► adverbs,"I still haven't read the role but when I read it, I was very excited and I accepted Mr Brown's offer.",
923,B2,PREPOSITIONS,prepostions,FORM/USE: FORMAL,"Can use less frequent simple prepositions, often in a more formal, literary or business context.",Suddenly the lights went out and a kind of silent screaming was heard throughout the whole dark room.,
924,B2,PREPOSITIONS,prepostions,FORM/USE: PREPOSITION + 'WH-'WORD,"Can use preposition + relative pronoun as complement, to avoid preposition stranding, often in formal contexts. ► Clauses: relative","According to your advertisement in a language magazine, you have a vacancy in which I am very interested.",
925,B2,PREPOSITIONS,prepostions,FORM: COMPLEX,Can use a wide range of complex prepositions.,"She did not say very much except for ""oh"" and ""yes, yes"" every once in a while.",3.0
926,B2,PRESENT,present continuous,FORM/USE: WITH ADVERBS OF INDEFINITE FREQUENCY ,"Can use the present continuous with an increasing range of adverbs of indefinite frequency, often to talk about surprising or undesirable situations or events.","… scientists don't really get together with top models … they are constantly studying and reading books, whereas the job of a top model is actually based on physical appearance.",
927,B2,PRESENT,present simple,FORM: INVERSION WITH 'NOT ONLY … BUT ALSO',"Can use the inverted form of the past simple with auxiliary 'do', in the phrase 'not only … but also'.","Not only do they save you filing time, but also they save office space.",
928,B2,PRESENT,present simple,USE: STORIES AND COMMENTARIES,"Can use the present simple to summarise events or plot in a story or piece of history, often to give immediate dramatic interest.",The plot of the book takes place in Vienna after the Second World War.,
929,B2,PRESENT,present simple,USE: SPEECH ACT VERBS,"Can use the present simple with a wide range of speech act verbs, including '(dis)agree', 'accept', 'advise'.",We disagree with the new numbering system as it is too complicated.,3.0
930,B2,PRONOUNS,demonstratives,"FORM/USE: 'THOSE', SUBSTITUTION ","Can use 'those' as a substitute, followed by a relative clause or '-ed' or '-ing'.","Moreover, for those who are not interested in sports and who prefer shopping, it would be a good idea to prevent cars and especially lorries from running in the center of the town.",
931,B2,PRONOUNS,demonstratives,"FORM/USE: 'THESE ONES', 'THOSE ONES' SUBSTITUTION","Can use 'these ones', 'those ones' as a substitute for plural countable nouns that have previously been mentioned.","This is only the beginning; there are a lot of things that should be done, but let's just start with these ones.",
932,B2,PRONOUNS,generic use,"USE: 'WE', 'US', GENERAL",Can use 'we' and 'us' to refer to people in general.,"These days the car is everywhere, we can see cars all over the world.",
933,B2,PRONOUNS,generic use,FORM/USE: GENDER NEUTRAL,Can use 'they/them' to refer back to indefinite pronouns when we do not know the number or gender.,If someone is watching a film that they don't like they can always choose another channel to watch to.,
934,B2,PRONOUNS,generic use,FORM/USE: GENDER NEUTRAL,"Can use 'he/she', 'he' or 'she' or 'they' to refer back to gender neutral singular nouns or indefinite pronouns when we are not sure of the gender.","If a child had free time, he/she would play on his/her own and not with other children.",
935,B2,PRONOUNS,"indefinite - thing, -one, -body etc","FORM/USE: WITH RELATIVE CLAUSES, FOCUS","Can use indefinite pronouns with a relative clause to form complex noun phrases, to give focus.",Something that I like very much is the idea of the classes.,
936,B2,PRONOUNS,"indefinite - thing, -one, -body etc",FORM: SUBJECT,"Can use the full range of indefinite pronouns as subjects, with a singular verb.","But, nowadays nothing is free, so you have to pay for everything.",3.0
937,B2,PRONOUNS,"indefinite - thing, -one, -body etc",USE: VAGUE EXPRESSIONS,Can use indefinite pronouns in vague expressions to refer to things in a non-specific way.,Is it worth having a nervous breakdown or anything like that?,
938,B2,PRONOUNS,possessive,FORM: 'OURS' AS OBJECT,"Can use the possessive pronoun 'ours' with singular and plural reference, in object positions, and complement positions after 'be' and after prepositions.",Can we rent windsurf boards or should we bring ours with us?,
939,B2,PRONOUNS,possessive,"FORM: COMPARATIVE CLAUSES WITH 'OURS', 'HERS'",Can use the possessive pronouns 'hers' and 'ours' in comparative clauses.,I told my mother that your Spanish omelette is better than hers.,
940,B2,PRONOUNS,possessive,FORM: +  'OF OURS',Can use the possessive pronoun 'ours' after noun + 'of'.,Finally we went to Venice where we met some friends of ours and spent with them the rest of the holiday.,
941,B2,PRONOUNS,possessive,FORM: 'OURS' AS SUBJECT ,"Can use the possessive pronoun 'ours', with singular and plural reference, in subject position.",Ours is the only store in this locality which opens at 7.00 am. (Business English Certificate (Vantage); B2; Tamil),
942,B2,PRONOUNS,possessive,FORM: 'HERS' AS OBJECT,"Can use the possessive pronoun 'hers', with singular reference, in object positions, and complement positions after 'be' and after prepositions.","At the entrance, the security guard asked for my identity card. Pat gave hers.",
943,B2,PRONOUNS,possessive,FORM: 'THEIRS' AS OBJECT ,"Can use the possessive pronoun 'theirs', with singular and plural reference, in object positions, and complement positions after 'be' and after prepositions.",I could show them the traditional things of our country and learn theirs.,
944,B2,PRONOUNS,quantity,"FORM: SUBJECT AND OBJECT PRONOUNS, 'EACH', 'SEVERAL', 'NEITHER', 'ENOUGH'","Can use pronouns 'each', 'either', 'enough', 'neither', 'several' as subject and object pronouns.","As you could guess, each has a very unique style.",
945,B2,PRONOUNS,quantity,FORM: WITH 'OF' + OBJECT PRONOUN,"Can use a wide range of pronouns ('neither', 'either', 'none') with 'of' followed by an object pronoun.","Stella and her boyfriend,... lived with Chuck at the same house, but neither of them knew that Chuck had passed a very complicated exam to be a spy for the United States.",3.0
946,B2,PRONOUNS,reciprocal,"FORM/USE: 'ONE ANOTHER', FORMAL","Can use 'one another' as the object of a verb or complement of a preposition to talk about the mutual behaviour of two or more people, often in formal contexts.","I also thought to create a studying space where students, staff and visitors can meet one another.",
947,B2,PRONOUNS,reflexive,FORM/USE: 'BY' + PLURAL ,"Can use plural reflexive pronouns with 'by' to mean alone, without any help.",A friend of mine and I are planning to spend a short holiday by ourselves.,
948,B2,PRONOUNS,reflexive,"USE: 'YOURSELVES', FOR POLITENESS ",Can use the plural reflexive pronoun 'yourselves' for politeness.,"Dear Sir/Madam, I am writing to you in response to the advertisement published by yourselves in ""the Traveller"" regarding The Trip of a Lifetime.",
